Date,Team 1,Score,Team 2,Tournament,City
Fri Jan 10 2003,India,0-1,Pakistan,SAFF Cup,Dhaka › Bangladesh
Fri Jan 10 2003,Sri Lanka,1-0,Afghanistan,SAFF Cup,Dhaka › Bangladesh
Sat Jan 11 2003,Bangladesh,1-0,Nepal,SAFF Cup,Dhaka › Bangladesh
Sat Jan 11 2003,Maldives,6-0,Bhutan,SAFF Cup,Dhaka › Bangladesh
Sun Jan 12 2003,Afghanistan,0-4,India,SAFF Cup,Dhaka › Bangladesh
Sun Jan 12 2003,Barbados,1-0,Jamaica,Friendly,Bridgetown › Barbados
Sun Jan 12 2003,Pakistan,2-1,Sri Lanka,SAFF Cup,Dhaka › Bangladesh
Mon Jan 13 2003,Bangladesh,1-0,Maldives,SAFF Cup,Dhaka › Bangladesh
Mon Jan 13 2003,Nepal,2-0,Bhutan,SAFF Cup,Dhaka › Bangladesh
Tue Jan 14 2003,Afghanistan,0-1,Pakistan,SAFF Cup,Dhaka › Bangladesh
Tue Jan 14 2003,India,1-1,Sri Lanka,SAFF Cup,Dhaka › Bangladesh
Wed Jan 15 2003,Bangladesh,3-0,Bhutan,SAFF Cup,Dhaka › Bangladesh
Wed Jan 15 2003,Nepal,2-3,Maldives,SAFF Cup,Dhaka › Bangladesh
Fri Jan 17 2003,El Salvador,0-0,Guatemala,Friendly,Santa Ana › United States
Sat Jan 18 2003,Bangladesh,2-1,India,SAFF Cup,Dhaka › Bangladesh
Sat Jan 18 2003,Pakistan,0-1,Maldives,SAFF Cup,Dhaka › Bangladesh
Sat Jan 18 2003,United States,4-0,Canada,Friendly,Fort Lauderdale › United States
Sun Jan 19 2003,El Salvador,0-0,Guatemala,Friendly,Los Angeles › United States
Mon Jan 20 2003,Bangladesh,1-1,Maldives,SAFF Cup,Dhaka › Bangladesh
Mon Jan 20 2003,Pakistan,1-2,India,SAFF Cup,Dhaka › Bangladesh
Sat Jan 25 2003,Uganda,0-1,Algeria,Friendly,Kampala › Uganda
Sun Jan 26 2003,Barbados,0-0,Finland,Friendly,Bridgetown › Barbados
Sun Jan 26 2003,Ghana,3-0,Benin,Friendly,Kumasi › Ghana
Sun Jan 26 2003,United Arab Emirates,1-1,Norway,Friendly,Sharjah › United Arab Emirates
Tue Jan 28 2003,Oman,1-2,Norway,Friendly,Muscat › Oman
Wed Jan 29 2003,Cyprus,1-2,Greece,Friendly,Larnaca › Cyprus
Wed Jan 29 2003,Trinidad and Tobago,1-2,Finland,Friendly,Port of Spain › Trinidad and Tobago
Fri Jan 31 2003,Honduras,1-3,Argentina,Friendly,San Pedro Sula › Honduras
Tue Feb 4 2003,Mexico,0-1,Argentina,Friendly,Los Angeles › United States
Tue Feb 4 2003,Uruguay,1-1,Iran,Lunar New Year Cup,So Kon Po › Hong Kong
Sat Feb 8 2003,United States,0-1,Argentina,Friendly,Miami › United States
Sun Feb 9 2003,Croatia,2-2,North Macedonia,Friendly,Šibenik › Croatia
Sun Feb 9 2003,Ecuador,1-0,Estonia,Friendly,Guayaquil › Ecuador
Sun Feb 9 2003,Panama,1-2,El Salvador,UNCAF Cup,Panama City › Panama
Tue Feb 11 2003,Cameroon,0-3,Ivory Coast,Friendly,Châteauroux › France
Tue Feb 11 2003,Costa Rica,1-0,El Salvador,UNCAF Cup,Panama City › Panama
