Date,Team 1,Team 2,FT,HT
2007-08-17,Heerenveen,Willem II,0-0,0-0
2007-08-18,AZ Alkmaar,VVV Venlo,4-0,2-0
2007-08-18,Excelsior,Twente,0-2,0-1
2007-08-18,NAC Breda,Groningen,0-3,0-1
2007-08-18,Nijmegen,Roda JC,1-1,1-0
2007-08-19,Graafschap,Ajax,1-8,0-2
2007-08-19,Heracles,PSV Eindhoven,0-2,0-0
2007-08-19,Sparta,Vitesse,1-2,1-0
2007-08-19,Utrecht,Feyenoord,0-3,0-1
2007-08-24,Roda JC,Heracles,2-1,1-0
2007-08-25,PSV Eindhoven,Nijmegen,5-0,2-0
2007-08-25,Vitesse,AZ Alkmaar,1-0,1-0
2007-08-25,VVV Venlo,Excelsior,3-1,1-1
2007-08-25,Willem II,Sparta,2-2,2-1
2007-08-26,Ajax,Heerenveen,4-1,2-1
2007-08-26,Feyenoord,NAC Breda,5-0,1-0
2007-08-26,Groningen,Graafschap,0-2,0-0
2007-08-26,Twente,Utrecht,2-2,1-1
2007-08-31,AZ Alkmaar,Excelsior,3-0,2-0
2007-09-01,Feyenoord,Willem II,2-0,2-0
2007-09-01,Heerenveen,Sparta,3-3,1-1
2007-09-01,NAC Breda,Heracles,4-1,0-0
2007-09-01,Twente,PSV Eindhoven,0-0,0-0
2007-09-02,Ajax,Groningen,2-2,1-1
2007-09-02,Utrecht,Graafschap,2-2,1-0
2007-09-02,Vitesse,Nijmegen,1-0,1-0
2007-09-02,VVV Venlo,Roda JC,3-5,3-2
2007-09-14,Groningen,Utrecht,0-2,0-0
2007-09-15,Excelsior,Heerenveen,2-5,2-3
2007-09-15,Graafschap,VVV Venlo,3-2,2-0
2007-09-15,Heracles,Ajax,0-1,0-0
2007-09-15,PSV Eindhoven,Vitesse,1-0,1-0
2007-09-16,Nijmegen,NAC Breda,0-1,0-1
2007-09-16,Roda JC,Feyenoord,1-3,1-0
2007-09-16,Sparta,AZ Alkmaar,2-2,1-0
2007-09-16,Willem II,Twente,1-3,1-2
