Round,Date,Team 1,FT,HT,Team 2
?,(Fri) 29 Aug 2008 (34),Vitesse (1),0-4,0-1,Groningen (1)
?,(Sat) 30 Aug 2008 (34),Nijmegen (1),2-0,0-0,Graafschap (1)
?,(Sat) 30 Aug 2008 (34),Roda JC (1),1-1,0-0,Twente (1)
?,(Sat) 30 Aug 2008 (34),Utrecht (1),1-5,0-3,PSV Eindhoven (1)
?,(Sat) 30 Aug 2008 (34),Willem II (1),2-1,0-1,Ajax (1)
?,(Sun) 31 Aug 2008 (34),AZ Alkmaar (1),1-2,1-1,NAC Breda (1)
?,(Sun) 31 Aug 2008 (34),Heracles (1),3-1,1-1,Feyenoord (1)
?,(Sun) 31 Aug 2008 (34),Sparta (1),2-5,1-3,Den Haag (1)
?,(Sun) 31 Aug 2008 (34),Volendam (1),2-3,0-1,Heerenveen (1)
?,(Fri) 12 Sep 2008 (36),Heerenveen (2),2-2,2-1,Heracles (2)
?,(Sat) 13 Sep 2008 (36),Den Haag (2),3-0,0-0,AZ Alkmaar (2)
?,(Sat) 13 Sep 2008 (36),Feyenoord (2),5-0,2-0,Volendam (2)
?,(Sat) 13 Sep 2008 (36),PSV Eindhoven (2),1-0,0-0,Sparta (2)
?,(Sat) 13 Sep 2008 (36),Twente (2),1-1,1-0,Nijmegen (2)
?,(Sun) 14 Sep 2008 (36),Ajax (2),1-0,0-0,Roda JC (2)
?,(Sun) 14 Sep 2008 (36),Graafschap (2),1-0,1-0,Vitesse (2)
?,(Sun) 14 Sep 2008 (36),Groningen (2),2-0,1-0,Utrecht (2)
?,(Sun) 14 Sep 2008 (36),NAC Breda (2),1-3,0-0,Willem II (2)
?,(Fri) 19 Sep 2008 (37),Utrecht (3),1-0,1-0,Willem II (3)
?,(Sat) 20 Sep 2008 (37),AZ Alkmaar (3),1-0,0-0,PSV Eindhoven (3)
?,(Sat) 20 Sep 2008 (37),Heracles (3),1-1,0-0,Groningen (3)
?,(Sat) 20 Sep 2008 (37),Vitesse (3),1-1,0-0,Sparta (3)
?,(Sun) 21 Sep 2008 (37),Feyenoord (3),2-2,0-1,Ajax (3)
?,(Sun) 21 Sep 2008 (37),Graafschap (3),2-0,1-0,Den Haag (3)
?,(Sun) 21 Sep 2008 (37),Heerenveen (3),2-1,0-0,Nijmegen (3)
?,(Sun) 21 Sep 2008 (37),Roda JC (3),0-3,0-0,NAC Breda (3)
?,(Sun) 21 Sep 2008 (37),Volendam (3),1-2,0-0,Twente (3)
?,(Sat) 27 Sep 2008 (38),NAC Breda (4),4-2,4-1,Heerenveen (4)
?,(Sat) 27 Sep 2008 (38),PSV Eindhoven (4),1-0,0-0,Volendam (4)
?,(Sat) 27 Sep 2008 (38),Twente (4),3-0,1-0,Graafschap (4)
?,(Sat) 27 Sep 2008 (38),Willem II (4),2-5,1-5,AZ Alkmaar (4)
?,(Sun) 28 Sep 2008 (38),Ajax (4),3-0,0-0,Vitesse (4)
?,(Sun) 28 Sep 2008 (38),Den Haag (4),0-0,0-0,Utrecht (4)
?,(Sun) 28 Sep 2008 (38),Groningen (4),3-1,1-0,Feyenoord (4)
?,(Sun) 28 Sep 2008 (38),Nijmegen (4),1-1,0-0,Heracles (4)
?,(Sun) 28 Sep 2008 (38),Sparta (4),2-2,1-0,Roda JC (4)
?,(Fri) 3 Oct 2008 (39),AZ Alkmaar (5),6-0,4-0,Sparta (5)
